sep=,
"Time","reducirimagen-755894457-7dth5","reducirimagen-755894457-zhvt9"
2025-04-05 19:44:17,24.5 MB,221 MB
2025-04-05 19:44:18,24.5 MB,221 MB
2025-04-05 19:44:19,24.5 MB,221 MB
2025-04-05 19:44:20,24.5 MB,221 MB
2025-04-05 19:44:21,24.5 MB,221 MB
2025-04-05 19:44:22,24.5 MB,221 MB
2025-04-05 19:44:23,24.5 MB,221 MB
2025-04-05 19:44:24,24.5 MB,221 MB
2025-04-05 19:44:25,24.5 MB,221 MB
2025-04-05 19:44:26,24.5 MB,221 MB
2025-04-05 19:44:27,24.5 MB,221 MB
2025-04-05 19:44:28,24.5 MB,221 MB
2025-04-05 19:44:29,24.5 MB,221 MB
2025-04-05 19:44:30,24.5 MB,221 MB
2025-04-05 19:44:31,24.5 MB,221 MB
2025-04-05 19:44:32,24.5 MB,221 MB
2025-04-05 19:44:33,24.5 MB,221 MB
2025-04-05 19:44:34,24.5 MB,221 MB
2025-04-05 19:44:35,24.5 MB,221 MB
2025-04-05 19:44:36,24.5 MB,221 MB
2025-04-05 19:44:37,24.5 MB,221 MB
2025-04-05 19:44:38,24.5 MB,221 MB
2025-04-05 19:44:39,24.5 MB,221 MB
2025-04-05 19:44:40,24.5 MB,221 MB
2025-04-05 19:44:41,24.5 MB,221 MB
2025-04-05 19:44:42,24.5 MB,221 MB
2025-04-05 19:44:43,24.5 MB,221 MB
2025-04-05 19:44:44,24.5 MB,221 MB
2025-04-05 19:44:45,24.5 MB,221 MB
2025-04-05 19:44:46,24.5 MB,221 MB
2025-04-05 19:44:47,24.5 MB,221 MB
2025-04-05 19:44:48,24.5 MB,221 MB
2025-04-05 19:44:49,24.5 MB,221 MB
2025-04-05 19:44:50,24.5 MB,221 MB
2025-04-05 19:44:51,24.5 MB,221 MB
2025-04-05 19:44:52,24.5 MB,221 MB
2025-04-05 19:44:53,24.5 MB,221 MB
2025-04-05 19:44:54,24.5 MB,221 MB
2025-04-05 19:44:55,24.5 MB,221 MB
2025-04-05 19:44:56,24.5 MB,221 MB
2025-04-05 19:44:57,24.5 MB,221 MB
2025-04-05 19:44:58,24.5 MB,221 MB
2025-04-05 19:44:59,24.5 MB,221 MB
2025-04-05 19:45:00,24.5 MB,221 MB
2025-04-05 19:45:01,24.5 MB,221 MB
2025-04-05 19:45:02,24.5 MB,221 MB
2025-04-05 19:45:03,24.5 MB,221 MB
2025-04-05 19:45:04,24.5 MB,221 MB
2025-04-05 19:45:05,24.5 MB,221 MB
2025-04-05 19:45:06,24.5 MB,221 MB
2025-04-05 19:45:07,24.5 MB,221 MB
2025-04-05 19:45:08,24.5 MB,221 MB
2025-04-05 19:45:09,24.5 MB,221 MB
2025-04-05 19:45:10,24.5 MB,221 MB
2025-04-05 19:45:11,24.5 MB,221 MB
2025-04-05 19:45:12,24.5 MB,221 MB
2025-04-05 19:45:13,24.5 MB,221 MB
2025-04-05 19:45:14,24.5 MB,221 MB
