"Time","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn"
2025-01-29 21:03:00,4.49,NaN,,
2025-01-29 21:03:15,7.32,NaN,,NaN
2025-01-29 21:03:30,5.62,NaN,,NaN
2025-01-29 21:03:45,7.31,30.0,,NaN
2025-01-29 21:04:00,7.49,30.0,,NaN
2025-01-29 21:04:15,NaN,30.0,,NaN
2025-01-29 21:04:30,NaN,NaN,,NaN
2025-01-29 21:04:45,NaN,NaN,,NaN
2025-01-29 21:05:00,NaN,NaN,,NaN
2025-01-29 21:05:15,3.45,NaN,,NaN
2025-01-29 21:05:30,4.98,NaN,,NaN
2025-01-29 21:05:45,5.76,NaN,,NaN
2025-01-29 21:06:00,3.80,NaN,,NaN
2025-01-29 21:06:15,5.01,NaN,,NaN
2025-01-29 21:06:30,3.92,NaN,,NaN
2025-01-29 21:06:45,7.57,NaN,,NaN
2025-01-29 21:07:00,3.86,NaN,,NaN
2025-01-29 21:07:15,9.27,30.0,,NaN
2025-01-29 21:07:30,6.07,30.0,,NaN
2025-01-29 21:07:45,6.32,30.0,,NaN
2025-01-29 21:08:00,5.65,30.0,,NaN
2025-01-29 21:08:15,29.4,NaN,,NaN
2025-01-29 21:08:30,NaN,NaN,,NaN
2025-01-29 21:08:45,NaN,NaN,,NaN
2025-01-29 21:09:00,NaN,NaN,,NaN
2025-01-29 21:09:15,4.98,NaN,,NaN
2025-01-29 21:09:30,7.57,NaN,,NaN
2025-01-29 21:09:45,6.40,NaN,,NaN
2025-01-29 21:10:00,8.47,NaN,,NaN
2025-01-29 21:10:15,6.74,NaN,,NaN
2025-01-29 21:10:30,5.74,NaN,,NaN
2025-01-29 21:10:45,8.33,NaN,,NaN
2025-01-29 21:11:00,6.35,NaN,,NaN
2025-01-29 21:11:15,6.63,NaN,,NaN
2025-01-29 21:11:30,8.36,NaN,,NaN
2025-01-29 21:11:45,6.99,NaN,,NaN
2025-01-29 21:12:00,5.87,NaN,,NaN
2025-01-29 21:12:15,NaN,NaN,,NaN
2025-01-29 21:12:30,NaN,NaN,,NaN
2025-01-29 21:12:45,NaN,NaN,,NaN
2025-01-29 21:13:00,NaN,NaN,,NaN
2025-01-29 21:13:15,3.94,NaN,,NaN
2025-01-29 21:13:30,5.97,NaN,,NaN
2025-01-29 21:13:45,5.06,NaN,,NaN
2025-01-29 21:14:00,4.63,NaN,,NaN
2025-01-29 21:14:15,6.29,NaN,,NaN
2025-01-29 21:14:30,6.12,NaN,,NaN
2025-01-29 21:14:45,6.16,NaN,,NaN
2025-01-29 21:15:00,6.31,NaN,,NaN
2025-01-29 21:15:15,7.43,NaN,,NaN
2025-01-29 21:15:30,6.23,NaN,,NaN
2025-01-29 21:15:45,6.51,NaN,,NaN
2025-01-29 21:16:00,6.68,NaN,,NaN
2025-01-29 21:16:15,NaN,NaN,,NaN
2025-01-29 21:16:30,NaN,NaN,,NaN
2025-01-29 21:16:45,NaN,NaN,,NaN
2025-01-29 21:17:00,NaN,NaN,,NaN
2025-01-29 21:17:15,0.597,NaN,,NaN
2025-01-29 21:17:30,0.616,NaN,,NaN
2025-01-29 21:17:45,0.420,NaN,,NaN
2025-01-29 21:18:00,0.346,NaN,,NaN
2025-01-29 21:18:15,0.355,NaN,,NaN
2025-01-29 21:18:30,0.321,NaN,,NaN
2025-01-29 21:18:45,0.253,NaN,,NaN
2025-01-29 21:19:00,0.256,NaN,,NaN
2025-01-29 21:19:15,0.204,NaN,,NaN
2025-01-29 21:19:30,0.217,NaN,,NaN
2025-01-29 21:19:45,0.205,NaN,,NaN
2025-01-29 21:20:00,0.181,NaN,,NaN
2025-01-29 21:20:15,NaN,NaN,,NaN
2025-01-29 21:20:30,NaN,NaN,,NaN
2025-01-29 21:20:45,NaN,NaN,,NaN
2025-01-29 21:21:00,NaN,NaN,,NaN
2025-01-29 21:21:15,0.422,NaN,,NaN
2025-01-29 21:21:30,0.424,NaN,,NaN
2025-01-29 21:21:45,0.362,NaN,,NaN
2025-01-29 21:22:00,0.362,NaN,,NaN
2025-01-29 21:22:15,0.409,NaN,,NaN
2025-01-29 21:22:30,0.393,NaN,,NaN
2025-01-29 21:22:45,0.406,NaN,,NaN
2025-01-29 21:23:00,0.349,NaN,,NaN
2025-01-29 21:23:15,0.361,NaN,,NaN
2025-01-29 21:23:30,0.369,NaN,,NaN
2025-01-29 21:23:45,0.368,NaN,,NaN
2025-01-29 21:24:00,0.345,NaN,,NaN
2025-01-29 21:24:15,NaN,NaN,,NaN
2025-01-29 21:24:30,NaN,NaN,,NaN
2025-01-29 21:24:45,NaN,NaN,,NaN
2025-01-29 21:25:00,NaN,NaN,,NaN
2025-01-29 21:25:15,1.75,NaN,,NaN
2025-01-29 21:25:30,1.72,NaN,,NaN
2025-01-29 21:25:45,1.45,NaN,,NaN
2025-01-29 21:26:00,0.891,NaN,,NaN
2025-01-29 21:26:15,0.799,NaN,,NaN
2025-01-29 21:26:30,0.748,NaN,,NaN
2025-01-29 21:26:45,0.704,NaN,,NaN
2025-01-29 21:27:00,0.696,NaN,,NaN
2025-01-29 21:27:15,0.667,NaN,,NaN
2025-01-29 21:27:30,0.555,NaN,,NaN
2025-01-29 21:27:45,0.567,NaN,,NaN
2025-01-29 21:28:00,0.502,NaN,,NaN
2025-01-29 21:28:15,NaN,NaN,,NaN
2025-01-29 21:28:30,NaN,NaN,,NaN
2025-01-29 21:28:45,NaN,NaN,,NaN
2025-01-29 21:29:00,NaN,NaN,,NaN
2025-01-29 21:29:15,1.56,NaN,,NaN
2025-01-29 21:29:30,1.40,NaN,,NaN
2025-01-29 21:29:45,1.38,NaN,,NaN
2025-01-29 21:30:00,1.31,NaN,,NaN
2025-01-29 21:30:15,1.51,NaN,,NaN
2025-01-29 21:30:30,1.59,NaN,,NaN
2025-01-29 21:30:45,1.25,NaN,,NaN
2025-01-29 21:31:00,1.15,NaN,,NaN
2025-01-29 21:31:15,1.33,NaN,,NaN
2025-01-29 21:31:30,1.33,NaN,,NaN
2025-01-29 21:31:45,1.21,NaN,,NaN
2025-01-29 21:32:00,1.32,NaN,,NaN
2025-01-29 21:32:15,NaN,NaN,,NaN
2025-01-29 21:32:30,NaN,NaN,,NaN
2025-01-29 21:32:45,NaN,NaN,,NaN
2025-01-29 21:33:00,NaN,NaN,,NaN
2025-01-29 21:33:15,2.18,NaN,,NaN
2025-01-29 21:33:30,3.45,NaN,,NaN
2025-01-29 21:33:45,2.98,NaN,,NaN
2025-01-29 21:34:00,3.04,NaN,,NaN
2025-01-29 21:34:15,1.43,NaN,,NaN
2025-01-29 21:34:30,1.58,NaN,,NaN
2025-01-29 21:34:45,1.41,NaN,,NaN
2025-01-29 21:35:00,1.85,NaN,,NaN
2025-01-29 21:35:15,1.67,NaN,,NaN
2025-01-29 21:35:30,1.34,NaN,,NaN
2025-01-29 21:35:45,1.29,NaN,,NaN
2025-01-29 21:36:00,1.65,NaN,,NaN
2025-01-29 21:36:15,NaN,NaN,,NaN
2025-01-29 21:36:30,NaN,NaN,,NaN
2025-01-29 21:36:45,NaN,NaN,,NaN
2025-01-29 21:37:00,NaN,NaN,,NaN
2025-01-29 21:37:15,1.97,NaN,,NaN
2025-01-29 21:37:30,3.49,NaN,,NaN
2025-01-29 21:37:45,2.27,NaN,,NaN
2025-01-29 21:38:00,3.37,NaN,,NaN
2025-01-29 21:38:15,3.11,NaN,,NaN
2025-01-29 21:38:30,3.32,NaN,,NaN
2025-01-29 21:38:45,3.31,NaN,,NaN
2025-01-29 21:39:00,3.26,NaN,,NaN
2025-01-29 21:39:15,2.61,NaN,,NaN
2025-01-29 21:39:30,3.75,NaN,,NaN
2025-01-29 21:39:45,2.91,NaN,,NaN
2025-01-29 21:40:00,2.84,NaN,,NaN
2025-01-29 21:40:15,NaN,NaN,,NaN
2025-01-29 21:40:30,NaN,NaN,,NaN
2025-01-29 21:40:45,NaN,NaN,,NaN
2025-01-29 21:41:00,NaN,NaN,,NaN
2025-01-29 21:41:15,3.90,NaN,,NaN
2025-01-29 21:41:30,3.54,NaN,,NaN
2025-01-29 21:41:45,4.51,NaN,,NaN
2025-01-29 21:42:00,4.90,NaN,,NaN
2025-01-29 21:42:15,4.38,NaN,,NaN
2025-01-29 21:42:30,4.21,NaN,,NaN
2025-01-29 21:42:45,4.35,NaN,,NaN
2025-01-29 21:43:00,4.62,NaN,,NaN
2025-01-29 21:43:15,7.24,NaN,,NaN
2025-01-29 21:43:30,6.21,NaN,,NaN
2025-01-29 21:43:45,8.08,30.0,,NaN
2025-01-29 21:44:00,5.16,NaN,,NaN
2025-01-29 21:44:15,NaN,30.0,,NaN
2025-01-29 21:44:30,NaN,NaN,,NaN
2025-01-29 21:44:45,NaN,NaN,,NaN
2025-01-29 21:45:00,NaN,NaN,,NaN
2025-01-29 21:45:15,4.36,NaN,,NaN
2025-01-29 21:45:30,4.85,NaN,,NaN
2025-01-29 21:45:45,6.40,NaN,,NaN
2025-01-29 21:46:00,3.41,NaN,,NaN
2025-01-29 21:46:15,6.08,NaN,,NaN
2025-01-29 21:46:30,3.61,NaN,,NaN
2025-01-29 21:46:45,7.67,NaN,,NaN
2025-01-29 21:47:00,2.74,NaN,,NaN
2025-01-29 21:47:15,8.99,30.0,,NaN
2025-01-29 21:47:30,4.36,30.0,,NaN
2025-01-29 21:47:45,5.07,30.0,,NaN
2025-01-29 21:48:00,6.86,NaN,,NaN
2025-01-29 21:48:15,NaN,NaN,,NaN
2025-01-29 21:48:30,NaN,NaN,,NaN
2025-01-29 21:48:45,NaN,NaN,,NaN
2025-01-29 21:49:00,NaN,NaN,,NaN
2025-01-29 21:49:15,5.34,NaN,,NaN
2025-01-29 21:49:30,9.78,NaN,,NaN
2025-01-29 21:49:45,6.53,NaN,,NaN
2025-01-29 21:50:00,8.16,NaN,,NaN
2025-01-29 21:50:15,7.11,NaN,,NaN
