0.068,0.065,0.000,0.062,0.066,0.075,0.074
0.070,0.073,0.000,0.064,0.071,0.083,0.080
0.079,0.066,0.064,0.066,0.000,0.077,0.074
0.071,0.069,0.058,0.000,0.027,0.080,0.000
0.072,0.000,0.073,0.000,0.073,0.073,0.000
0.069,0.000,0.068,0.063,0.072,0.048,0.048
0.000,0.062,0.070,0.069,0.069,0.000,0.074
0.029,0.067,0.066,0.062,0.073,0.000,0.075
0.062,0.061,0.064,0.074,0.078,0.072,0.072
0.067,0.076,0.059,0.062,0.082,0.073,0.075
0.074,0.070,0.000,0.069,0.047,0.075,0.079
0.066,0.057,0.000,0.076,0.000,0.072,0.074
0.064,0.062,0.069,0.050,0.021,0.077,0.026
0.079,0.068,0.070,0.000,0.059,0.075,0.000
0.067,0.021,0.059,0.000,0.070,0.070,0.047
0.042,0.000,0.061,0.040,0.068,0.000,0.074
0.000,0.060,0.062,0.066,0.101,0.000,0.076
0.000,0.067,0.072,0.067,0.097,0.081,0.073
0.074,0.061,0.062,0.068,0.081,0.073,0.068
0.069,0.069,0.071,0.069,0.000,0.023,0.075
0.067,0.067,0.000,0.064,0.044,0.000,0.065
0.080,0.069,0.000,0.068,0.062,0.091,0.052
0.062,0.067,0.043,0.067,0.064,0.068,0.000
0.075,0.045,0.067,0.019,0.064,0.086,0.000
0.064,0.000,0.071,0.000,0.057,0.080,0.073
0.044,0.000,0.072,0.047,0.077,0.074,0.077
0.000,0.065,0.083,0.065,0.081,0.095,0.073
0.021,0.065,0.070,0.065,0.044,0.046,0.075
0.069,0.072,0.064,0.066,0.000,0.000,0.075
0.067,0.069,0.044,0.058,0.027,0.024,0.084
0.068,0.062,0.000,0.061,0.070,0.085,0.078
0.073,0.065,0.029,0.064,0.090,0.071,0.000
0.066,0.066,0.064,0.071,0.071,0.069,0.000
0.080,0.044,0.066,0.023,0.076,0.079,0.077
0.082,0.000,0.067,0.000,0.071,0.081,0.084
0.000,0.020,0.060,0.000,0.072,0.077,0.085
0.000,0.074,0.062,0.065,0.070,0.047,0.075
0.041,0.066,0.060,0.065,0.000,0.000,0.074
0.073,0.065,0.065,0.062,0.000,0.000,0.080
0.060,0.065,0.040,0.064,0.068,0.078,0.071
0.062,0.072,0.000,0.071,0.147,0.078,0.000
0.063,0.058,0.000,0.070,0.063,0.079,0.000
0.068,0.070,0.068,0.068,0.061,0.075,0.081
0.059,0.042,0.070,0.000,0.063,0.075,0.076
0.065,0.000,0.064,0.000,0.070,0.077,0.073
0.046,0.000,0.067,0.063,0.043,0.078,0.076
0.000,0.068,0.065,0.075,0.000,0.000,0.081
0.049,0.076,0.062,0.059,0.000,0.027,0.075
0.070,0.057,0.067,0.074,0.058,0.072,0.074
0.070,0.069,0.069,0.070,0.061,0.086,0.000
0.065,0.065,0.000,0.068,0.065,0.079,0.028
0.067,0.078,0.022,0.058,0.069,0.073,0.077
0.063,0.077,0.076,0.062,0.058,0.071,0.076
0.062,0.041,0.061,0.000,0.063,0.085,0.087
0.073,0.000,0.067,0.000,0.072,0.072,0.072
0.020,0.041,0.065,0.052,0.058,0.000,0.073
0.000,0.061,0.063,0.065,0.000,0.000,0.079
0.022,0.064,0.067,0.067,0.000,0.075,0.049
0.067,0.067,0.077,0.066,0.064,0.082,0.000
0.065,0.059,0.048,0.064,0.068,0.078,0.000
0.065,0.071,0.000,0.061,0.063,0.081,0.082
0.078,0.068,0.026,0.065,0.062,0.074,0.069
0.074,0.068,0.065,0.069,0.074,0.078,0.088
0.072,0.046,0.065,0.018,0.066,0.077,0.079
0.059,0.000,0.064,0.000,0.060,0.000,0.070
0.023,0.022,0.061,0.048,0.074,0.029,0.085
0.000,0.119,0.063,0.075,0.000,0.074,0.051
0.047,0.065,0.067,0.072,0.000,0.078,0.000
0.065,0.076,0.070,0.070,0.065,0.071,0.055
0.067,0.071,0.071,0.073,0.071,0.078,0.070
0.000,0.125,0.000,0.000,0.122,0.000,0.000
