Time;" code=""200"" pod_template_hash=""5f59dffc5""";"code=""200"" pod_template_hash=""86d89cc867""";"code=""500"" pod_template_hash=""5f59dffc5""";"code=""500"" pod_template_hash=""86d89cc867""";"code=""502"" pod_template_hash=""5f59dffc5""";"code=""502"" pod_template_hash=""86d89cc867""";"code=""504"" pod_template_hash=""5f59dffc5""";"code=""504"" pod_template_hash=""86d89cc867"""
15/10/2024 13:48;;1.46;;0;;0;;
15/10/2024 13:48;;1.36;;0;;0;;
15/10/2024 13:48;;1.29;;0;;0;;
15/10/2024 13:49;;1.31;;0;;0;;
15/10/2024 13:49;;1.15;;0;;0;;
15/10/2024 13:49;;1.23;;0;;0;;
15/10/2024 13:49;;1.78;;0;;0;;
15/10/2024 13:50;;1.35;;0;;0;;
15/10/2024 13:50;;1.74;;0;;0;;
15/10/2024 13:50;;1.23;;0;;0;;
15/10/2024 13:50;;1.28;;0;;0;;
15/10/2024 13:51;;1.19;;0;;0;;
15/10/2024 13:51;;1.4;;0;;0;;
15/10/2024 13:51;;1.42;;0;;0;;
15/10/2024 13:51;;0.959;;0;;0;;
15/10/2024 13:52;;1.52;;0;;0;;
15/10/2024 13:52;;1.29;;0;;0;;
15/10/2024 13:52;;0;;0;;0;;
15/10/2024 13:52;;0;;30;;0;;
15/10/2024 13:53;;4.73;;30;;0;;
15/10/2024 13:53;;1;;0;;0;;
15/10/2024 13:53;;5.35;;30;;0;;
15/10/2024 13:53;;3.8;;0;;0;;
15/10/2024 13:54;;2.36;;0;;0;;
15/10/2024 13:54;;2.92;;0;;0;;
15/10/2024 13:54;;3.51;;0;;0;;
15/10/2024 13:54;;2.92;;0;;0;;
15/10/2024 13:55;;2.73;;0;;0;;
15/10/2024 13:55;;3.3;;0;;0;;
15/10/2024 13:55;;2.65;;0;;0;;
15/10/2024 13:55;;2.68;;0;;0;;
15/10/2024 13:56;;2.48;;0;;0;;
15/10/2024 13:56;;2.15;;0;;0;;
15/10/2024 13:56;;1.96;;0;;0;;
15/10/2024 13:56;;2.32;;0;;0;;
15/10/2024 13:57;;1.86;;0;;0;;
15/10/2024 13:57;;1.68;;0;;0;;
15/10/2024 13:57;;2.39;;305;;305;;
15/10/2024 13:57;;2.25;;0;;0;;0
15/10/2024 13:58;;2.74;;0;;0;;0
15/10/2024 13:58;;2.75;;0;;0;;0
15/10/2024 13:58;;3.25;;0;;0;;0
15/10/2024 13:58;;0;;0;;0;;0
15/10/2024 13:59;;0;;0;;0;;0
15/10/2024 13:59;;3.12;;0;;0;;0
15/10/2024 13:59;;3.45;;0;;0;;0
15/10/2024 13:59;;4.68;;30;;0;;0
15/10/2024 14:00;;0;;0;;0;;0
15/10/2024 14:00;;0;;30;;0;;0
15/10/2024 14:00;;1.61;;0;;0;;0
15/10/2024 14:00;;3.59;;0;;0;;0
15/10/2024 14:01;;3.59;;3.21;;2.39;;0
15/10/2024 14:01;;0;;0;;0;;0
15/10/2024 14:01;;28;;0;;0;;0
15/10/2024 14:01;;4.29;;0;;0;;0
15/10/2024 14:02;;5.52;;0;;0;;0
15/10/2024 14:02;;5.71;;0;;0;;0
15/10/2024 14:02;;4.74;;0;;0;;0
15/10/2024 14:02;;4.9;;0;;0;;0
15/10/2024 14:03;;4.83;;0;;0;;0
15/10/2024 14:03;;4.87;;0;;0;;0
15/10/2024 14:03;;5.02;;0;;0;;0
15/10/2024 14:03;;6.94;;0;;0;;0
15/10/2024 14:04;;7.17;;0;;0;;0
15/10/2024 14:04;;7.21;;30;;0;;0
15/10/2024 14:04;;8.08;;30;;0;;0
15/10/2024 14:04;;0;;30;;0;;0
15/10/2024 14:05;;27.1;;0;;0;;0
15/10/2024 14:05;;4.55;;0;;0;;0
15/10/2024 14:05;;4.74;;0;;0;;0
15/10/2024 14:05;;5.1;;0;;0;;0
15/10/2024 14:06;;3.91;;0;;305;;0
15/10/2024 14:06;;5.29;;0;;0;;0
15/10/2024 14:06;;3.89;;0;;0;;0
15/10/2024 14:06;;7.72;;0;;0;;0
15/10/2024 14:07;;3.19;;0;;0;;0
15/10/2024 14:07;;8.13;;30;;0;;0
15/10/2024 14:07;;6.49;;0;;0;;0
15/10/2024 14:07;;5.92;;30;;0;;0
15/10/2024 14:08;;4.96;;30;;0;;0
15/10/2024 14:08;;2.97;;0;;0;;0
15/10/2024 14:08;;5.86;;0;;0;;0
15/10/2024 14:08;;6.2;;0;;0;;0
15/10/2024 14:09;;7.85;;0;;0;;0
15/10/2024 14:09;;5.4;;0;;0;;0
15/10/2024 14:09;;5;;0;;0;;0
15/10/2024 14:09;;7.95;;0;;0;;0
15/10/2024 14:10;;6.15;;0;;0;;0
15/10/2024 14:10;;4.94;;0;;0;;0
