Iteración, tamaño, formato, id, enviadas, recibidas
0, 2,.jpg, 878465219, 151, 151
0, 2,.jpg, -167493955, 139, 139
0, 2,.jpg, 274519434, 121, 121
0, 2,.jpg, -984926105, 121, 121
0, 2,.jpg, 1991678539, 163, 163
0, 2,.jpg, -512512951, 112, 112
0, 2,.jpg, -833293543, 150, 150
0, 2,.jpg, 80210345, 118, 118
0, 2,.jpg, -1355036212, 131, 131
0, 2,.jpg, 412617421, 113, 113
0, 2,.jpg, 1620022222, 100, 100
0, 2,.jpg, -1288027295, 120, 120
0, 2,.jpg, -1191031976, 116, 116
0, 2,.jpg, -1046760118, 154, 154
0, 2,.jpg, 125608117, 104, 104
0, 2,.jpg, -1103571801, 139, 139
0, 2,.jpg, -1260351708, 107, 107
0, 2,.jpg, -1036667506, 90, 90
0, 2,.jpg, 2074896927, 95, 95
0, 2,.jpg, -1747778260, 119, 119
0, 2,.jpg, -922902555, 107, 107
0, 2,.jpg, 865995123, 128, 128
0, 2,.jpg, 748067065, 137, 137
0, 2,.jpg, 288800208, 112, 112
0, 2,.jpg, -1719056012, 119, 119
0, 2,.jpg, -1257752885, 128, 128
0, 2,.jpg, -499611731, 116, 116
0, 2,.jpg, -1093495668, 123, 123
0, 2,.jpg, -442999844, 147, 147
0, 2,.png, -1269373947, 58, 58
0, 2,.png, -1575039637, 51, 51
0, 2,.png, -1782675430, 52, 52
0, 2,.png, 1312174023, 53, 53
0, 2,.png, 296115530, 55, 55
0, 2,.png, -2011924486, 63, 63
0, 2,.png, 385487845, 64, 64
0, 2,.png, -1180905984, 65, 65
0, 2,.png, 1829329058, 60, 60
0, 2,.png, -554412466, 59, 59
0, 2,.png, 2145296237, 61, 61
0, 2,.png, -921643152, 61, 61
0, 2,.png, -199458310, 58, 58
0, 2,.png, 1367276875, 54, 54
0, 2,.png, -172197960, 61, 61
0, 2,.png, 827022324, 66, 66
0, 2,.png, -224311454, 63, 63
0, 2,.png, 312845762, 63, 63
0, 2,.png, -1949473350, 56, 56
0, 2,.png, 1746730939, 64, 64
0, 2,.png, -140655803, 63, 63
0, 2,.png, -690763317, 66, 66
0, 2,.png, -449472646, 53, 53
0, 2,.png, -510035874, 62, 62
0, 2,.png, -1922387799, 59, 59
