"Time","reducirimagen.openfaas-fn"
2025-07-03 11:07:46,38.7
2025-07-03 11:07:48,40.4
2025-07-03 11:07:50,40.6
2025-07-03 11:07:52,40.9
2025-07-03 11:07:54,40.5
2025-07-03 11:07:56,41.7
2025-07-03 11:07:58,42.4
2025-07-03 11:08:00,42.6
2025-07-03 11:08:02,42.9
2025-07-03 11:08:04,42.5
2025-07-03 11:08:06,43.7
2025-07-03 11:08:08,44.4
2025-07-03 11:08:10,44.6
2025-07-03 11:08:12,44.9
2025-07-03 11:08:14,44.5
2025-07-03 11:08:16,45.7
2025-07-03 11:08:18,46.4
2025-07-03 11:08:20,46.6
2025-07-03 11:08:22,46.9
2025-07-03 11:08:24,46.5
2025-07-03 11:08:26,48.7
2025-07-03 11:08:28,50.4
2025-07-03 11:08:30,50.7
2025-07-03 11:08:32,50.9
2025-07-03 11:08:34,50.5
2025-07-03 11:08:36,51.8
2025-07-03 11:08:38,52.4
2025-07-03 11:08:40,52.6
2025-07-03 11:08:42,52.9
2025-07-03 11:08:44,52.5
2025-07-03 11:08:46,53.7
2025-07-03 11:08:48,54.4
2025-07-03 11:08:50,54.6
2025-07-03 11:08:52,54.9
2025-07-03 11:08:54,54.5
2025-07-03 11:08:56,55.7
2025-07-03 11:08:58,56.4
2025-07-03 11:09:00,57.6
2025-07-03 11:09:02,57.9
2025-07-03 11:09:04,58.5
2025-07-03 11:09:06,58.8
2025-07-03 11:09:08,60.4
2025-07-03 11:09:10,60.7
2025-07-03 11:09:12,60.9
2025-07-03 11:09:14,60.5
2025-07-03 11:09:16,60.8
2025-07-03 11:09:18,62.4
2025-07-03 11:09:20,62.7
2025-07-03 11:09:22,62.9
2025-07-03 11:09:24,62.5
2025-07-03 11:09:26,62.8
2025-07-03 11:09:28,64.4
2025-07-03 11:09:30,64.7
2025-07-03 11:09:32,64.9
2025-07-03 11:09:34,64.5
2025-07-03 11:09:36,64.8
2025-07-03 11:09:38,66.4
2025-07-03 11:09:40,66.6
2025-07-03 11:09:42,67.9
2025-07-03 11:09:44,68.5
2025-07-03 11:09:46,68.8
2025-07-03 11:09:48,70.4
2025-07-03 11:09:50,70.7
2025-07-03 11:09:52,70.9
2025-07-03 11:09:54,70.5
2025-07-03 11:09:56,70.8
2025-07-03 11:09:58,72.4
2025-07-03 11:10:00,72.7
2025-07-03 11:10:02,72.9
2025-07-03 11:10:04,72.5
2025-07-03 11:10:06,72.8
2025-07-03 11:10:08,74.4
2025-07-03 11:10:10,74.7
2025-07-03 11:10:12,74.9
2025-07-03 11:10:14,74.5
2025-07-03 11:10:16,74.8
2025-07-03 11:10:18,78.4
2025-07-03 11:10:20,78.7
2025-07-03 11:10:22,78.9
2025-07-03 11:10:24,78.5
2025-07-03 11:10:26,78.8
2025-07-03 11:10:28,80.4
2025-07-03 11:10:30,80.7
2025-07-03 11:10:32,80.9
2025-07-03 11:10:34,80.5
2025-07-03 11:10:36,80.8
2025-07-03 11:10:38,82.4
2025-07-03 11:10:40,82.7
2025-07-03 11:10:42,82.9
2025-07-03 11:10:44,82.5
