sep=,
"Time","reducirimagen-755894457-62vzv","reducirimagen-755894457-69f76","reducirimagen-755894457-7k9pb","reducirimagen-755894457-8hvwt","reducirimagen-755894457-chsv9","reducirimagen-755894457-fvcl2","reducirimagen-755894457-fzdr4","reducirimagen-755894457-hxqk6","reducirimagen-755894457-qhlz9","reducirimagen-755894457-wdbtr","reducirimagen-755894457-wh8w7","reducirimagen-755894457-zhvt9"
2025-04-07 22:46:52,,,,,,,,,,,,0.00141
2025-04-07 22:47:02,,,,,,,,,,,,0.00128
2025-04-07 22:47:04,,,,,,,,,,,,0.00128
2025-04-07 22:47:06,,,,,,,,,,,,0.00128
2025-04-07 22:47:08,,,,,,,,,,,,0.00128
2025-04-07 22:47:10,,,,,,,,,,,,0.00128
2025-04-07 22:47:16,,,,,,,,,,,,0.00134
2025-04-07 22:47:18,,,,,,,,,,,,0.00134
2025-04-07 22:47:20,,,,,,,,,,,,0.00134
2025-04-07 22:47:22,,,,,,,,,,,,0.00134
2025-04-07 22:47:24,,,,,,,,,,,,0.00134
2025-04-07 22:47:26,,,,,,,,,,,,0.00134
2025-04-07 22:47:28,,,,,,,,,,,,0.00134
2025-04-07 22:47:30,,,,,,,,,,,,0.00134
2025-04-07 22:47:32,,,,,,,,,,,,0.00148
2025-04-07 22:47:34,,,,,,,,,,,,0.00148
2025-04-07 22:47:36,,,,,,,,,,,,0.00148
2025-04-07 22:47:38,,,,,,,,,,,,0.00148
2025-04-07 22:47:40,,,,,,,,,,,,0.00148
2025-04-07 22:47:42,,,,,,,,,,,,0.00148
2025-04-07 22:47:44,,,,,,,,,,,,0.236
2025-04-07 22:47:46,,,,,,,,,,,,0.393
2025-04-07 22:47:48,,,,,,,,,,,,0.430
2025-04-07 22:47:50,,,,,,,,,,,,0.564
2025-04-07 22:47:52,,,,,,,,,,,,0.564
2025-04-07 22:47:54,,,,,,,,,,,,0.564
2025-04-07 22:47:56,,,,,,,,,,,,0.408
2025-04-07 22:47:58,,,,,,,,,,,,0.827
2025-04-07 22:48:00,,,,,,,,,,,,0.827
2025-04-07 22:48:02,,,,,,,,,,,,1.03
2025-04-07 22:48:04,,,,,,,,,,,,1.03
2025-04-07 22:48:06,,,,,,,,,,,,1.03
2025-04-07 22:48:08,,,,,,,,,,,,1.03
2025-04-07 22:48:10,,,,,,,,,,,,1.03
2025-04-07 22:48:12,,,,,,,,,,,,1.03
2025-04-07 22:48:14,,,,,,,,,,,,1.03
2025-04-07 22:48:16,,,,,,,,,,,,1.03
2025-04-07 22:48:18,,,,,,,,,,,,1.03
2025-04-07 22:48:20,,,,,,,,,,,,1.03
2025-04-07 22:48:22,,,,,,,,,,,,1.03
2025-04-07 22:48:24,,,,,,,,,,,,1.03
2025-04-07 22:48:26,,,,,,,,,,,,1.03
2025-04-07 22:48:32,,,,,,,,,,,,0.988
2025-04-07 22:48:34,,,,,,,,,,,,0.988
2025-04-07 22:48:36,,,,,,,,,,,,0.988
2025-04-07 22:48:38,,,,,,,,,,,,0.988
2025-04-07 22:48:40,,,,,,,,,,,,0.988
2025-04-07 22:48:42,,,,,,,,,,,,0.988
2025-04-07 22:48:50,,,,,,,,,,,,0.950
2025-04-07 22:48:52,,,,,,,,,,,,0.950
2025-04-07 22:48:54,,,,,,,,,,,,0.950
2025-04-07 22:48:56,,,,,,,,,,1.09,,0.950
2025-04-07 22:48:58,,,,,,,,,,1.09,,0.950
2025-04-07 22:49:00,,,,,,,,,,1.09,,0.950
2025-04-07 22:49:02,,,,,,,,,,1.09,,
2025-04-07 22:49:04,,,,,,,,,,1.09,,
2025-04-07 22:49:06,,,,,,,,,,1.10,,
2025-04-07 22:49:08,,,,,,,,,,1.10,,0.953
2025-04-07 22:49:10,,,,,,,,,,0.802,,0.953
2025-04-07 22:49:12,,,,,,,,,,1.11,,0.953
2025-04-07 22:49:14,,,,,,,,,,1.11,,0.953
2025-04-07 22:49:16,,,,,,,,,,1.11,,0.953
2025-04-07 22:49:18,,,,,,,,,,1.11,,0.953
2025-04-07 22:49:20,,,,,,,,,,0.792,,
2025-04-07 22:49:22,,,,,,,,,,0.718,,
2025-04-07 22:49:24,,,,,,,,,,0.939,,
2025-04-07 22:49:26,,,,,,,,,,0.823,,1.01
2025-04-07 22:49:28,,,,,,,,,,0.823,,1.01
2025-04-07 22:49:30,,,,,,,,,,0.823,,1.01
2025-04-07 22:49:32,,,,,,,,,,0.823,,1.01
2025-04-07 22:49:34,,,,,,,,,,0.823,,1.01
2025-04-07 22:49:36,,,,,,,,,0.307,,,0.679
2025-04-07 22:49:38,,,,,,,,,0.307,,,0.0557
2025-04-07 22:49:40,,,,,,,,,0.307,0.173,,0.0617
2025-04-07 22:49:42,,,,,,,,,0.307,0.173,,0.0678
2025-04-07 22:49:44,,,,,,,,,0.307,0.173,,0.0904
2025-04-07 22:49:46,,,,,,,,,0.307,0.173,,0.0716
2025-04-07 22:49:48,,,,,,,,,0.307,0.173,,0.0656
2025-04-07 22:49:50,,,,,,,,,0.307,0.173,,0.0383
2025-04-07 22:49:52,,,,,,,,,,0.173,,0.0383
2025-04-07 22:49:54,,,,,,,,,,,,0.0383
2025-04-07 22:49:56,,,,,,,,,,,,0.00124
2025-04-07 22:49:58,,,,,,,,,,,,0.00124
2025-04-07 22:50:00,,,,,,,,,,,,0.00124
