sep=,
"Time","reducirimagen-755894457-6p7gh","reducirimagen-755894457-6pgmz","reducirimagen-755894457-9td2l","reducirimagen-755894457-q27z7","reducirimagen-755894457-szzsl","reducirimagen-755894457-zhvt9"
2025-04-05 18:21:34,23.7 MB,,,,,238 MB
2025-04-05 18:21:35,23.7 MB,,,,,238 MB
2025-04-05 18:21:36,23.7 MB,,,,,238 MB
2025-04-05 18:21:37,23.7 MB,,,,,238 MB
2025-04-05 18:21:38,23.7 MB,,,,,238 MB
2025-04-05 18:21:39,23.7 MB,,,,,238 MB
2025-04-05 18:21:40,23.7 MB,,,,,238 MB
2025-04-05 18:21:41,23.7 MB,,,,,238 MB
2025-04-05 18:21:42,23.7 MB,,,,,238 MB
2025-04-05 18:21:43,23.7 MB,,,,,238 MB
2025-04-05 18:21:44,23.7 MB,,,,,238 MB
2025-04-05 18:21:45,23.7 MB,,,,,238 MB
2025-04-05 18:21:46,23.7 MB,,,,,238 MB
2025-04-05 18:21:47,23.7 MB,,,,,238 MB
2025-04-05 18:21:48,23.7 MB,,,,,238 MB
2025-04-05 18:21:49,23.7 MB,,,,,238 MB
2025-04-05 18:21:50,23.7 MB,,,,,238 MB
2025-04-05 18:21:51,23.7 MB,,,,,238 MB
2025-04-05 18:21:52,23.7 MB,,,,,238 MB
2025-04-05 18:21:53,23.7 MB,,,,,238 MB
2025-04-05 18:21:54,23.7 MB,,,,,238 MB
2025-04-05 18:21:55,23.7 MB,,,,,238 MB
2025-04-05 18:21:56,23.7 MB,,,,,238 MB
2025-04-05 18:21:57,23.7 MB,,,,,238 MB
2025-04-05 18:21:58,23.7 MB,,,,,238 MB
2025-04-05 18:21:59,23.7 MB,,,,,238 MB
2025-04-05 18:22:00,23.7 MB,,,,,238 MB
2025-04-05 18:22:01,23.7 MB,,,,,238 MB
2025-04-05 18:22:02,23.7 MB,,,,,238 MB
2025-04-05 18:22:03,23.7 MB,,,,,238 MB
2025-04-05 18:22:04,23.7 MB,,,,,238 MB
2025-04-05 18:22:05,23.7 MB,,,,,238 MB
2025-04-05 18:22:06,23.7 MB,,,,,238 MB
2025-04-05 18:22:07,23.7 MB,,,,,238 MB
2025-04-05 18:22:08,23.7 MB,,,,,238 MB
2025-04-05 18:22:09,23.7 MB,,,,,238 MB
2025-04-05 18:22:10,23.7 MB,,,,,238 MB
2025-04-05 18:22:11,23.7 MB,,,,,238 MB
2025-04-05 18:22:12,23.7 MB,,,,,238 MB
2025-04-05 18:22:13,23.7 MB,,,,,238 MB
2025-04-05 18:22:14,23.7 MB,,,,,238 MB
2025-04-05 18:22:15,23.7 MB,,,,,238 MB
2025-04-05 18:22:16,23.7 MB,,,,,238 MB
2025-04-05 18:22:17,23.7 MB,,,,,238 MB
2025-04-05 18:22:18,23.7 MB,,,,,238 MB
2025-04-05 18:22:19,23.7 MB,,,,,238 MB
2025-04-05 18:22:20,23.7 MB,,,,,238 MB
2025-04-05 18:22:21,23.7 MB,,,,,238 MB
2025-04-05 18:22:22,23.7 MB,,,,,238 MB
2025-04-05 18:22:23,23.7 MB,,,,,238 MB
2025-04-05 18:22:24,23.7 MB,,,,,238 MB
2025-04-05 18:22:25,23.7 MB,,,,,238 MB
2025-04-05 18:22:26,23.7 MB,,,,,238 MB
2025-04-05 18:22:27,23.7 MB,,,,,238 MB
2025-04-05 18:22:28,23.7 MB,,,,,238 MB
2025-04-05 18:22:29,23.7 MB,,,,,238 MB
2025-04-05 18:22:30,23.7 MB,,,,,238 MB
2025-04-05 18:22:31,23.7 MB,,,,,238 MB
2025-04-05 18:22:32,23.7 MB,,,,,238 MB
2025-04-05 18:22:33,23.7 MB,,,,,238 MB
2025-04-05 18:22:34,23.7 MB,,,,,238 MB
2025-04-05 18:22:35,23.7 MB,,,,,238 MB
2025-04-05 18:22:36,23.7 MB,,,,,238 MB
2025-04-05 18:22:37,23.7 MB,,,,,238 MB
2025-04-05 18:22:38,23.7 MB,,,,,238 MB
2025-04-05 18:22:39,23.7 MB,,,,,238 MB
2025-04-05 18:22:40,23.7 MB,,,,,238 MB
2025-04-05 18:22:41,23.7 MB,,,,,238 MB
2025-04-05 18:22:42,23.7 MB,,,,,238 MB
2025-04-05 18:22:43,23.7 MB,,,,,238 MB
2025-04-05 18:22:44,23.7 MB,,,,,238 MB
2025-04-05 18:22:45,23.7 MB,,,,,238 MB
2025-04-05 18:22:46,23.7 MB,,,,,238 MB
2025-04-05 18:22:47,23.7 MB,,,,,238 MB
2025-04-05 18:22:48,23.7 MB,,,,,238 MB
2025-04-05 18:22:49,23.7 MB,,,,,238 MB
2025-04-05 18:22:50,23.7 MB,,,,,238 MB
2025-04-05 18:22:51,23.7 MB,,,,,238 MB
2025-04-05 18:22:52,23.7 MB,,,,,238 MB
2025-04-05 18:22:53,23.7 MB,,,,,238 MB
2025-04-05 18:22:54,23.7 MB,,,,,238 MB
2025-04-05 18:22:55,23.7 MB,,,,,238 MB
2025-04-05 18:22:56,23.7 MB,,,,,238 MB
2025-04-05 18:22:57,23.7 MB,,,,,238 MB
2025-04-05 18:22:58,23.7 MB,,,,,238 MB
2025-04-05 18:22:59,23.7 MB,,,,,238 MB
2025-04-05 18:23:00,23.7 MB,,,,,238 MB
2025-04-05 18:23:01,23.7 MB,,,,,238 MB
2025-04-05 18:23:02,23.7 MB,,,,,238 MB
2025-04-05 18:23:03,23.7 MB,,,,,238 MB
2025-04-05 18:23:04,23.7 MB,,,,,238 MB
2025-04-05 18:23:05,23.7 MB,,,,,238 MB
2025-04-05 18:23:06,23.7 MB,,,,,238 MB
2025-04-05 18:23:07,23.7 MB,,,,,238 MB
2025-04-05 18:23:08,23.7 MB,,,,,238 MB
2025-04-05 18:23:09,23.7 MB,,,,,238 MB
2025-04-05 18:23:10,23.7 MB,,,,,238 MB
2025-04-05 18:23:11,23.7 MB,,,,,238 MB
2025-04-05 18:23:12,23.7 MB,,,,,238 MB
2025-04-05 18:23:13,23.7 MB,,,,,238 MB
2025-04-05 18:23:14,23.7 MB,,,,,238 MB
2025-04-05 18:23:15,23.7 MB,,,,,238 MB
2025-04-05 18:23:16,23.7 MB,,,,,238 MB
2025-04-05 18:23:17,23.7 MB,,,,,238 MB
2025-04-05 18:23:18,23.7 MB,,,,,238 MB
2025-04-05 18:23:19,23.7 MB,,,,,238 MB
2025-04-05 18:23:20,23.7 MB,,,,,238 MB
2025-04-05 18:23:21,23.7 MB,,,,,238 MB
2025-04-05 18:23:22,23.7 MB,,,,,238 MB
2025-04-05 18:23:23,23.7 MB,,,,,238 MB
2025-04-05 18:23:24,23.7 MB,,,,,238 MB
2025-04-05 18:23:25,23.7 MB,,,,,238 MB
2025-04-05 18:23:26,23.7 MB,,,,,238 MB
2025-04-05 18:23:27,23.7 MB,,,,,238 MB
2025-04-05 18:23:28,23.7 MB,,,,,238 MB
2025-04-05 18:23:29,23.7 MB,,,,,238 MB
2025-04-05 18:23:30,23.7 MB,,,,,238 MB
2025-04-05 18:23:31,23.7 MB,,,,,238 MB
2025-04-05 18:23:32,23.7 MB,,,,,238 MB
2025-04-05 18:23:33,23.7 MB,,,,,238 MB
2025-04-05 18:23:34,23.7 MB,,,,,238 MB
2025-04-05 18:23:35,23.7 MB,,,,,238 MB
2025-04-05 18:23:36,23.7 MB,,,,,238 MB
2025-04-05 18:23:37,23.7 MB,,,,,238 MB
2025-04-05 18:23:38,23.7 MB,,,,,238 MB
2025-04-05 18:23:39,23.7 MB,,,,,238 MB
2025-04-05 18:23:40,23.7 MB,,,,,238 MB
