sep=,
"Time","reducirimagen-755894457-2gnh2","reducirimagen-755894457-5hjsq","reducirimagen-755894457-hvrg6","reducirimagen-755894457-q65rl","reducirimagen-755894457-t28nh","reducirimagen-755894457-zhvt9"
2025-04-14 21:53:00,,,,,,0.0184
2025-04-14 21:53:15,,,,,,0.0104
2025-04-14 21:53:30,,,,,,0.0162
2025-04-14 21:53:45,,,,,,0.0133
2025-04-14 21:54:00,,,,,,0.0142
2025-04-14 21:54:15,,,,,,0.0126
2025-04-14 21:54:30,,,,,,0.0213
2025-04-14 21:54:45,,,,,,0.0163
2025-04-14 21:55:00,,,,,,0.0108
2025-04-14 21:55:15,,,,,,0.0110
2025-04-14 21:55:30,,,,,,0.00993
2025-04-14 21:55:45,,,,,,0.0156
2025-04-14 21:56:00,,,,,,0.00811
2025-04-14 21:56:15,,,,,,0.00888
2025-04-14 21:56:30,,,,,,0.00818
2025-04-14 21:57:00,,,,,,0.00875
2025-04-14 21:57:15,,,,,,0.0184
2025-04-14 21:57:30,,,,,,0.0118
2025-04-14 21:57:45,,,,,,0.00746
2025-04-14 21:58:00,,,,,,0.00852
2025-04-14 21:58:15,,,,,,0.00803
2025-04-14 21:58:30,,,,,,0.00688
2025-04-14 21:58:45,,,,,,0.00757
2025-04-14 21:59:15,,,,,,0.0110
2025-04-14 21:59:30,,,,,,0.00671
2025-04-14 22:00:00,,,,,,0.0151
2025-04-14 22:00:15,,,,,,0.0143
2025-04-14 22:00:30,,,,,,0.0136
2025-04-14 22:00:45,,,,,,0.00868
2025-04-14 22:01:00,,,,,,0.0137
2025-04-14 22:01:15,,,,,,0.0180
2025-04-14 22:01:30,,,,,,0.00794
2025-04-14 22:01:45,,,,,,0.0206
2025-04-14 22:02:00,,,,,,0.00804
2025-04-14 22:02:15,,,,,,0.0164
2025-04-14 22:02:30,,,,,,0.0102
2025-04-14 22:02:45,,,,,,0.0118
2025-04-14 22:03:00,,,,,,0.0162
2025-04-14 22:03:15,,,,,,0.0205
2025-04-14 22:03:30,,,,,,0.0108
2025-04-14 22:03:45,,,,,,0.0119
2025-04-14 22:04:00,,,,,,0.0133
2025-04-14 22:04:15,,,,,,0.0163
2025-04-14 22:04:30,,,,,,0.0130
2025-04-14 22:04:45,,,,,,0.0186
2025-04-14 22:05:00,,,,,,0.00875
2025-04-14 22:05:30,,,,,,0.706
2025-04-14 22:05:45,,,,,,0.588
2025-04-14 22:06:15,,,0.0220,,,0.00127
2025-04-14 22:06:30,,,,,,0.0125
2025-04-14 22:06:45,,,,,,0.0138
2025-04-14 22:07:30,,,,,,0.0201
2025-04-14 22:07:45,,,,,,0.00777
2025-04-14 22:08:00,,,,,,0.0161
2025-04-14 22:08:15,,,,,,0.0152
2025-04-14 22:08:30,,,,,,0.0111
2025-04-14 22:08:45,,,,,,0.00857
2025-04-14 22:09:00,,,,,,0.0171
2025-04-14 22:09:15,,,,,,0.0116
2025-04-14 22:10:00,,,,,,0.00892
2025-04-14 22:10:15,,,,,,0.0181
2025-04-14 22:10:30,,,,,,0.0183
2025-04-14 22:10:45,,,,,,0.00935
2025-04-14 22:11:00,,,,,,0.0140
2025-04-14 22:11:15,,,,,,0.0164
2025-04-14 22:11:30,,,,,,0.00787
2025-04-14 22:12:00,,,,,,0.00769
2025-04-14 22:12:15,,,,,,0.00780
2025-04-14 22:12:45,,,,,,0.0151
2025-04-14 22:13:00,,,,,,0.0165
2025-04-14 22:13:15,,,,,,0.0145
2025-04-14 22:13:30,,,,,,0.00938
2025-04-14 22:13:45,,,,,,0.0138
2025-04-14 22:14:00,,,,,,0.0119
2025-04-14 22:14:15,,,,,,0.0177
2025-04-14 22:14:30,,,,,,0.0106
2025-04-14 22:14:45,,,,,,0.0102
2025-04-14 22:15:00,,,,,,0.0163
2025-04-14 22:15:15,,,,,,0.0150
2025-04-14 22:16:00,,,,,,0.0101
2025-04-14 22:16:15,,,,,,0.00937
2025-04-14 22:16:30,,,,,,0.0165
2025-04-14 22:16:45,,,,,,0.0125
2025-04-14 22:17:00,,,,,,0.00783
2025-04-14 22:17:30,,,,,,0.0165
2025-04-14 22:17:45,,,,,,0.0121
2025-04-14 22:18:00,,,,,,0.0109
2025-04-14 22:18:15,,,,,,0.0146
2025-04-14 22:18:30,,,,,,0.0183
2025-04-14 22:18:45,,,,,,0.00962
2025-04-14 22:19:00,,,,,,0.0108
2025-04-14 22:19:15,,,,,,0.0130
2025-04-14 22:19:30,,,,,,0.0132
2025-04-14 22:19:45,,,,,,0.0162
2025-04-14 22:20:00,,,,,,0.0141
2025-04-14 22:20:15,,,,,,0.0113
2025-04-14 22:20:30,,,,,,0.0156
2025-04-14 22:20:45,,,,,,0.0134
2025-04-14 22:21:00,,,,,,0.0120
2025-04-14 22:21:15,,,,,,0.0183
2025-04-14 22:21:30,,,,,,0.0122
2025-04-14 22:21:45,,,,,,0.0143
2025-04-14 22:22:00,,,,,,0.0112
2025-04-14 22:22:15,,,,,,0.694
2025-04-14 22:22:30,,,,,,1.03
2025-04-14 22:22:45,,,,,,0.964
2025-04-14 22:23:00,,,,,,0.000891
2025-04-14 22:23:15,,,,,,0.00128
2025-04-14 22:23:30,,,,,,0.0167
2025-04-14 22:23:45,,,,,,0.0114
2025-04-14 22:24:00,,,,,,0.0145
2025-04-14 22:24:45,,,,,,0.00874
2025-04-14 22:25:00,,,,,,0.0136
2025-04-14 22:25:15,,,,,,0.0168
2025-04-14 22:25:30,,,,,,0.0166
2025-04-14 22:25:45,,,,,,0.00835
2025-04-14 22:26:00,,,,,,0.0175
2025-04-14 22:26:15,,,,,,0.00777
2025-04-14 22:26:45,,,,,,0.00786
2025-04-14 22:27:00,,,,,,0.0116
2025-04-14 22:27:15,,,,,,0.0217
2025-04-14 22:27:30,,,,,,0.00921
2025-04-14 22:27:45,,,,,,0.0159
2025-04-14 22:28:00,,,,,,0.0104
2025-04-14 22:28:15,,,,,,0.0108
2025-04-14 22:28:30,,,,,,0.0101
2025-04-14 22:28:45,,,,,,0.0175
2025-04-14 22:29:00,,,,,,0.0117
2025-04-14 22:29:15,,,,,,0.0144
2025-04-14 22:29:30,,,,,,0.00850
2025-04-14 22:29:45,,,,,,0.0206
2025-04-14 22:30:00,,,,,,0.0110
2025-04-14 22:30:15,,,,,,0.0113
2025-04-14 22:30:30,,,,,,0.00913
2025-04-14 22:30:45,,,,,,0.0173
2025-04-14 22:31:00,,,,,,0.0148
2025-04-14 22:31:15,,,,,,0.00967
2025-04-14 22:31:30,,,,,,0.0140
2025-04-14 22:31:45,,,,,,0.0163
2025-04-14 22:32:00,,,,,,0.00804
2025-04-14 22:32:15,,,,,,0.00964
2025-04-14 22:32:30,,,,,,0.0163
2025-04-14 22:32:45,,,,,,0.0154
2025-04-14 22:33:00,,,,,,0.0136
2025-04-14 22:33:15,,,,,,0.00798
2025-04-14 22:33:30,,,,,,0.0147
2025-04-14 22:33:45,,,,,,0.0160
2025-04-14 22:34:00,,,,,,0.00869
2025-04-14 22:34:15,,,,,,0.0172
2025-04-14 22:34:30,,,,,,0.0117
2025-04-14 22:34:45,,,,,,0.0129
2025-04-14 22:35:00,,,,,,0.0156
2025-04-14 22:35:15,,,,,,0.00968
2025-04-14 22:35:30,,,,,,0.00855
2025-04-14 22:35:45,,,,,,0.0204
2025-04-14 22:36:00,,,,,,0.0145
2025-04-14 22:36:15,,,,,,0.00915
2025-04-14 22:36:30,,,,,,0.0141
2025-04-14 22:36:45,,,,,,0.0104
2025-04-14 22:37:00,,,,,,0.0185
2025-04-14 22:37:15,,,,,,0.0104
2025-04-14 22:38:00,,,,,,0.00986
2025-04-14 22:38:15,,,,,,0.0152
2025-04-14 22:38:30,,,,,,0.0114
2025-04-14 22:38:45,,,,,,0.0158
2025-04-14 22:39:00,,,,,,0.0131
2025-04-14 22:39:15,,,,,,0.660
2025-04-14 22:39:30,,,,,,1.03
2025-04-14 22:39:45,,,,,,0.927
2025-04-14 22:40:00,,,,,,0.00769
2025-04-14 22:40:15,0.00134,,,,,0.0156
2025-04-14 22:40:30,,,,,,0.00944
2025-04-14 22:40:45,,,,,,0.0140
2025-04-14 22:41:00,,,,,,0.00819
2025-04-14 22:41:30,,,,,,0.00857
2025-04-14 22:41:45,,,,,,0.0142
2025-04-14 22:42:00,,,,,,0.0102
2025-04-14 22:42:45,,,,,,0.00862
2025-04-14 22:43:00,,,,,,0.0158
2025-04-14 22:43:15,,,,,,0.0112
2025-04-14 22:43:30,,,,,,0.0151
2025-04-14 22:43:45,,,,,,0.0146
2025-04-14 22:44:30,,,,,,0.0152
2025-04-14 22:44:45,,,,,,0.0116
2025-04-14 22:45:30,,,,,,0.0155
2025-04-14 22:45:45,,,,,,0.0183
2025-04-14 22:46:00,,,,,,0.00858
2025-04-14 22:46:15,,,,,,0.0210
2025-04-14 22:46:30,,,,,,0.00839
2025-04-14 22:47:15,,,,,,0.0168
2025-04-14 22:47:30,,,,,,0.0157
2025-04-14 22:47:45,,,,,,0.00970
2025-04-14 22:48:00,,,,,,0.00986
2025-04-14 22:48:15,,,,,,0.0207
2025-04-14 22:48:30,,,,,,0.00892
2025-04-14 22:48:45,,,,,,0.0204
2025-04-14 22:49:00,,,,,,0.00774
2025-04-14 22:49:15,,,,,,0.0174
2025-04-14 22:49:30,,,,,,0.0138
2025-04-14 22:50:00,,,,,,0.00852
2025-04-14 22:50:15,,,,,,0.00770
2025-04-14 22:50:30,,,,,,0.00741
2025-04-14 22:50:45,,,,,,0.0102
2025-04-14 22:51:00,,,,,,0.0190
2025-04-14 22:51:15,,,,,,0.0108
2025-04-14 22:51:30,,,,,,0.0128
2025-04-14 22:51:45,,,,,,0.0166
2025-04-14 22:52:00,,,,,,0.0105
2025-04-14 22:52:15,,,,,,0.00943
2025-04-14 22:52:30,,,,,,0.0179
2025-04-14 22:52:45,,,,,,0.00820
2025-04-14 22:53:00,,,,,,0.0166
2025-04-14 22:53:15,,,,,,0.00794
2025-04-14 22:53:30,,,,,,0.0202
2025-04-14 22:53:45,,,,,,0.0101
2025-04-14 22:54:00,,,,,,0.0198
2025-04-14 22:54:15,,,,,,0.0138
2025-04-14 22:54:30,,,,,,0.0119
2025-04-14 22:54:45,,,,,,0.0121
2025-04-14 22:55:00,,,,,,0.0157
2025-04-14 22:55:15,,,,,,0.0126
2025-04-14 22:55:30,,,,,,0.0109
2025-04-14 22:55:45,,,,,,0.0177
2025-04-14 22:56:00,,,,,,0.0193
2025-04-14 22:56:15,,,,,,0.577
2025-04-14 22:56:30,,,,,,1.03
2025-04-14 22:56:45,,,,,,1.01
2025-04-14 22:57:00,,,,,,0.0100
2025-04-14 22:57:15,,,,,0.00133,0.0103
2025-04-14 22:57:30,,,,,,0.0187
2025-04-14 22:57:45,,,,,,0.0103
2025-04-14 22:58:00,,,,,,0.0104
2025-04-14 22:58:15,,,,,,0.0164
2025-04-14 22:58:30,,,,,,0.0172
2025-04-14 22:59:00,,,,,,0.00743
2025-04-14 22:59:15,,,,,,0.0103
2025-04-14 22:59:30,,,,,,0.0103
2025-04-14 22:59:45,,,,,,0.0124
2025-04-14 23:00:00,,,,,,0.0177
2025-04-14 23:00:15,,,,,,0.00952
2025-04-14 23:00:30,,,,,,0.0151
2025-04-14 23:00:45,,,,,,0.0102
2025-04-14 23:01:00,,,,,,0.0171
2025-04-14 23:01:15,,,,,,0.00994
2025-04-14 23:01:30,,,,,,0.0103
2025-04-14 23:01:45,,,,,,0.0173
2025-04-14 23:02:00,,,,,,0.0110
2025-04-14 23:02:15,,,,,,0.0198
2025-04-14 23:02:30,,,,,,0.00841
2025-04-14 23:03:00,,,,,,0.0114
2025-04-14 23:03:15,,,,,,0.0114
2025-04-14 23:03:45,,,,,,0.0141
2025-04-14 23:04:00,,,,,,0.0174
2025-04-14 23:04:15,,,,,,0.0106
2025-04-14 23:04:30,,,,,,0.00893
2025-04-14 23:04:45,,,,,,0.00772
2025-04-14 23:05:00,,,,,,0.0165
2025-04-14 23:05:15,,,,,,0.00781
2025-04-14 23:05:30,,,,,,0.0167
2025-04-14 23:05:45,,,,,,0.0151
2025-04-14 23:06:00,,,,,,0.0150
2025-04-14 23:06:15,,,,,,0.0111
2025-04-14 23:06:30,,,,,,0.0152
2025-04-14 23:06:45,,,,,,0.0188
2025-04-14 23:07:00,,,,,,0.00769
2025-04-14 23:07:15,,,,,,0.0184
2025-04-14 23:07:30,,,,,,0.0135
2025-04-14 23:07:45,,,,,,0.0101
2025-04-14 23:08:00,,,,,,0.0106
2025-04-14 23:08:15,,,,,,0.0133
2025-04-14 23:08:30,,,,,,0.0171
2025-04-14 23:08:45,,,,,,0.00870
2025-04-14 23:09:15,,,,,,0.00936
2025-04-14 23:09:30,,,,,,0.0156
2025-04-14 23:09:45,,,,,,0.0129
2025-04-14 23:10:00,,,,,,0.0128
2025-04-14 23:10:15,,,,,,0.00868
2025-04-14 23:10:30,,,,,,0.0141
2025-04-14 23:10:45,,,,,,0.0158
2025-04-14 23:11:00,,,,,,0.0172
2025-04-14 23:11:15,,,,,,0.00869
2025-04-14 23:11:30,,,,,,0.00976
2025-04-14 23:11:45,,,,,,0.0138
2025-04-14 23:12:00,,,,,,0.00906
2025-04-14 23:12:15,,,,,,0.0175
2025-04-14 23:12:30,,,,,,0.0106
2025-04-14 23:12:45,,,,,,0.0127
2025-04-14 23:13:00,,,,,,0.0181
2025-04-14 23:13:15,,,,,,0.410
2025-04-14 23:13:30,,,,,,1.03
2025-04-14 23:13:45,,,,,,1.03
2025-04-14 23:14:00,,,,,,0.472
2025-04-14 23:14:15,,,,,,0.00128
2025-04-14 23:14:30,,,,,,0.0157
2025-04-14 23:14:45,,,,,,0.0118
2025-04-14 23:15:00,,,,,,0.0157
2025-04-14 23:15:15,,,,,,0.00956
2025-04-14 23:15:30,,,,,,0.0192
2025-04-14 23:15:45,,,,,,0.0112
2025-04-14 23:16:00,,,,,,0.00955
2025-04-14 23:16:15,,,,,,0.0167
2025-04-14 23:16:30,,,,,,0.0168
2025-04-14 23:16:45,,,,,,0.00903
2025-04-14 23:17:30,,,,,,0.0127
2025-04-14 23:17:45,,,,,,0.0151
2025-04-14 23:18:00,,,,,,0.0147
2025-04-14 23:18:15,,,,,,0.0134
2025-04-14 23:18:30,,,,,,0.0177
2025-04-14 23:18:45,,,,,,0.0143
2025-04-14 23:19:00,,,,,,0.0115
2025-04-14 23:19:15,,,,,,0.0167
2025-04-14 23:19:30,,,,,,0.0123
2025-04-14 23:19:45,,,,,,0.00870
2025-04-14 23:20:00,,,,,,0.0149
2025-04-14 23:20:15,,,,,,0.0154
2025-04-14 23:21:00,,,,,,0.00955
2025-04-14 23:21:15,,,,,,0.0175
2025-04-14 23:21:30,,,,,,0.00819
2025-04-14 23:22:00,,,,,,0.0124
2025-04-14 23:22:15,,,,,,0.0141
2025-04-14 23:22:30,,,,,,0.0154
2025-04-14 23:22:45,,,,,,0.00981
2025-04-14 23:23:00,,,,,,0.0116
2025-04-14 23:23:15,,,,,,0.0166
2025-04-14 23:23:30,,,,,,0.0155
2025-04-14 23:23:45,,,,,,0.00998
2025-04-14 23:24:00,,,,,,0.0155
2025-04-14 23:24:15,,,,,,0.0202
2025-04-14 23:24:30,,,,,,0.0102
2025-04-14 23:24:45,,,,,,0.0167
2025-04-14 23:25:00,,,,,,0.00893
2025-04-14 23:25:15,,,,,,0.0141
2025-04-14 23:25:30,,,,,,0.0162
2025-04-14 23:25:45,,,,,,0.0100
2025-04-14 23:26:00,,,,,,0.0165
2025-04-14 23:26:15,,,,,,0.0116
2025-04-14 23:26:30,,,,,,0.0105
2025-04-14 23:26:45,,,,,,0.0136
2025-04-14 23:27:00,,,,,,0.0165
2025-04-14 23:27:15,,,,,,0.00896
2025-04-14 23:27:30,,,,,,0.0175
