sep=,
"Time","200","502"
2025-04-14 22:09:15,NaN,NaN
2025-04-14 22:09:30,0.156,NaN
2025-04-14 22:09:45,NaN,NaN
2025-04-14 22:10:00,0.156,NaN
2025-04-14 22:10:15,NaN,NaN
2025-04-14 22:10:30,0.131,NaN
2025-04-14 22:10:45,NaN,NaN
2025-04-14 22:11:00,0.184,NaN
2025-04-14 22:11:15,NaN,NaN
2025-04-14 22:11:30,0.154,NaN
2025-04-14 22:11:45,NaN,NaN
2025-04-14 22:12:00,NaN,NaN
2025-04-14 22:12:15,NaN,NaN
2025-04-14 22:12:30,NaN,NaN
2025-04-14 22:12:45,0.141,NaN
2025-04-14 22:13:00,NaN,NaN
2025-04-14 22:13:15,0.135,NaN
2025-04-14 22:13:30,NaN,NaN
2025-04-14 22:13:45,0.147,NaN
2025-04-14 22:14:00,NaN,NaN
2025-04-14 22:14:15,0.142,NaN
2025-04-14 22:14:30,NaN,NaN
2025-04-14 22:14:45,0.160,NaN
2025-04-14 22:15:00,NaN,NaN
2025-04-14 22:15:15,0.145,NaN
2025-04-14 22:15:30,NaN,NaN
2025-04-14 22:15:45,0.162,NaN
2025-04-14 22:16:00,NaN,NaN
2025-04-14 22:16:15,0.155,NaN
2025-04-14 22:16:30,NaN,NaN
2025-04-14 22:16:45,NaN,NaN
2025-04-14 22:17:00,NaN,NaN
2025-04-14 22:17:15,NaN,NaN
2025-04-14 22:17:30,0.159,NaN
2025-04-14 22:17:45,NaN,NaN
2025-04-14 22:18:00,0.138,NaN
2025-04-14 22:18:15,NaN,NaN
2025-04-14 22:18:30,0.191,NaN
2025-04-14 22:18:45,NaN,NaN
2025-04-14 22:19:00,0.147,NaN
2025-04-14 22:19:15,NaN,NaN
2025-04-14 22:19:30,0.143,NaN
2025-04-14 22:19:45,NaN,NaN
2025-04-14 22:20:00,0.174,NaN
2025-04-14 22:20:15,NaN,NaN
2025-04-14 22:20:30,0.141,NaN
2025-04-14 22:20:45,NaN,NaN
2025-04-14 22:21:00,NaN,NaN
2025-04-14 22:21:15,NaN,NaN
2025-04-14 22:21:30,NaN,NaN
2025-04-14 22:21:45,0.148,NaN
2025-04-14 22:22:00,NaN,NaN
2025-04-14 22:22:15,1.33,NaN
2025-04-14 22:22:30,1.26,NaN
2025-04-14 22:22:45,1.53,NaN
2025-04-14 22:23:00,NaN,NaN
2025-04-14 22:23:15,0.158,NaN
2025-04-14 22:23:30,NaN,NaN
2025-04-14 22:23:45,0.136,NaN
2025-04-14 22:24:00,NaN,NaN
2025-04-14 22:24:15,NaN,NaN
2025-04-14 22:24:30,NaN,NaN
2025-04-14 22:24:45,NaN,NaN
2025-04-14 22:25:00,NaN,NaN
2025-04-14 22:25:15,NaN,NaN
2025-04-14 22:25:30,0.159,NaN
2025-04-14 22:25:45,NaN,NaN
2025-04-14 22:26:00,0.152,NaN
2025-04-14 22:26:15,NaN,NaN
2025-04-14 22:26:30,0.183,NaN
2025-04-14 22:26:45,NaN,NaN
2025-04-14 22:27:00,0.167,NaN
2025-04-14 22:27:15,NaN,NaN
2025-04-14 22:27:30,0.148,NaN
2025-04-14 22:27:45,NaN,NaN
2025-04-14 22:28:00,0.170,NaN
2025-04-14 22:28:15,NaN,NaN
2025-04-14 22:28:30,0.151,NaN
2025-04-14 22:28:45,NaN,NaN
2025-04-14 22:29:00,NaN,NaN
2025-04-14 22:29:15,NaN,NaN
2025-04-14 22:29:30,NaN,NaN
2025-04-14 22:29:45,NaN,NaN
2025-04-14 22:30:00,NaN,NaN
2025-04-14 22:30:15,0.149,NaN
2025-04-14 22:30:30,NaN,NaN
2025-04-14 22:30:45,0.167,NaN
2025-04-14 22:31:00,NaN,NaN
2025-04-14 22:31:15,0.142,NaN
2025-04-14 22:31:30,NaN,NaN
2025-04-14 22:31:45,0.171,NaN
2025-04-14 22:32:00,NaN,NaN
2025-04-14 22:32:15,0.137,NaN
2025-04-14 22:32:30,NaN,NaN
2025-04-14 22:32:45,0.151,NaN
2025-04-14 22:33:00,NaN,NaN
2025-04-14 22:33:15,NaN,NaN
2025-04-14 22:33:30,NaN,NaN
2025-04-14 22:33:45,NaN,NaN
2025-04-14 22:34:00,NaN,NaN
2025-04-14 22:34:15,NaN,NaN
2025-04-14 22:34:30,0.152,NaN
2025-04-14 22:34:45,NaN,NaN
2025-04-14 22:35:00,0.155,NaN
2025-04-14 22:35:15,NaN,NaN
2025-04-14 22:35:30,0.133,NaN
2025-04-14 22:35:45,NaN,NaN
2025-04-14 22:36:00,0.150,NaN
2025-04-14 22:36:15,NaN,NaN
2025-04-14 22:36:30,0.163,NaN
2025-04-14 22:36:45,NaN,NaN
2025-04-14 22:37:00,0.145,NaN
2025-04-14 22:37:15,NaN,NaN
2025-04-14 22:37:30,0.152,NaN
2025-04-14 22:37:45,NaN,NaN
2025-04-14 22:38:00,NaN,NaN
2025-04-14 22:38:15,NaN,NaN
2025-04-14 22:38:30,NaN,NaN
2025-04-14 22:38:45,0.192,NaN
2025-04-14 22:39:00,NaN,NaN
2025-04-14 22:39:15,1.26,NaN
2025-04-14 22:39:30,1.21,NaN
2025-04-14 22:39:45,1.34,NaN
2025-04-14 22:40:00,NaN,NaN
2025-04-14 22:40:15,0.139,NaN
2025-04-14 22:40:30,NaN,NaN
2025-04-14 22:40:45,0.153,NaN
2025-04-14 22:41:00,NaN,NaN
2025-04-14 22:41:15,0.154,NaN
2025-04-14 22:41:30,NaN,NaN
2025-04-14 22:41:45,0.129,NaN
2025-04-14 22:42:00,NaN,NaN
2025-04-14 22:42:15,NaN,NaN
2025-04-14 22:42:30,NaN,NaN
2025-04-14 22:42:45,NaN,NaN
2025-04-14 22:43:00,0.158,NaN
2025-04-14 22:43:15,NaN,NaN
2025-04-14 22:43:30,0.152,NaN
2025-04-14 22:43:45,NaN,NaN
2025-04-14 22:44:00,0.178,NaN
2025-04-14 22:44:15,NaN,NaN
2025-04-14 22:44:30,0.144,NaN
2025-04-14 22:44:45,NaN,NaN
2025-04-14 22:45:00,0.147,NaN
2025-04-14 22:45:15,NaN,NaN
2025-04-14 22:45:30,0.164,NaN
2025-04-14 22:45:45,NaN,NaN
2025-04-14 22:46:00,0.155,NaN
2025-04-14 22:46:15,NaN,NaN
2025-04-14 22:46:30,NaN,NaN
2025-04-14 22:46:45,NaN,NaN
2025-04-14 22:47:00,NaN,NaN
2025-04-14 22:47:15,0.164,NaN
2025-04-14 22:47:30,NaN,NaN
2025-04-14 22:47:45,0.137,NaN
2025-04-14 22:48:00,NaN,NaN
2025-04-14 22:48:15,0.146,NaN
2025-04-14 22:48:30,NaN,NaN
2025-04-14 22:48:45,0.148,NaN
2025-04-14 22:49:00,NaN,NaN
2025-04-14 22:49:15,0.157,NaN
2025-04-14 22:49:30,NaN,NaN
2025-04-14 22:49:45,0.143,NaN
2025-04-14 22:50:00,NaN,NaN
2025-04-14 22:50:15,0.122,NaN
2025-04-14 22:50:30,NaN,NaN
2025-04-14 22:50:45,0.141,NaN
2025-04-14 22:51:00,NaN,NaN
2025-04-14 22:51:15,NaN,NaN
2025-04-14 22:51:30,NaN,NaN
2025-04-14 22:51:45,NaN,NaN
2025-04-14 22:52:00,0.141,NaN
2025-04-14 22:52:15,NaN,NaN
2025-04-14 22:52:30,0.147,NaN
2025-04-14 22:52:45,NaN,NaN
2025-04-14 22:53:00,0.145,NaN
2025-04-14 22:53:15,NaN,NaN
2025-04-14 22:53:30,0.178,NaN
2025-04-14 22:53:45,NaN,NaN
2025-04-14 22:54:00,0.140,NaN
2025-04-14 22:54:15,NaN,NaN
2025-04-14 22:54:30,0.161,NaN
2025-04-14 22:54:45,NaN,NaN
2025-04-14 22:55:00,0.141,NaN
2025-04-14 22:55:15,NaN,NaN
2025-04-14 22:55:30,NaN,NaN
2025-04-14 22:55:45,NaN,NaN
2025-04-14 22:56:00,NaN,NaN
2025-04-14 22:56:15,1.23,NaN
2025-04-14 22:56:30,1.22,NaN
2025-04-14 22:56:45,1.45,NaN
2025-04-14 22:57:00,NaN,NaN
2025-04-14 22:57:15,0.126,NaN
2025-04-14 22:57:30,NaN,NaN
2025-04-14 22:57:45,0.147,NaN
2025-04-14 22:58:00,NaN,NaN
2025-04-14 22:58:15,NaN,NaN
2025-04-14 22:58:30,NaN,NaN
2025-04-14 22:58:45,NaN,NaN
2025-04-14 22:59:00,NaN,NaN
2025-04-14 22:59:15,NaN,NaN
2025-04-14 22:59:30,0.151,NaN
2025-04-14 22:59:45,NaN,NaN
2025-04-14 23:00:00,0.176,NaN
2025-04-14 23:00:15,NaN,NaN
2025-04-14 23:00:30,0.137,NaN
2025-04-14 23:00:45,NaN,NaN
2025-04-14 23:01:00,0.224,NaN
2025-04-14 23:01:15,NaN,NaN
2025-04-14 23:01:30,0.148,NaN
2025-04-14 23:01:45,NaN,NaN
2025-04-14 23:02:00,0.199,NaN
2025-04-14 23:02:15,NaN,NaN
2025-04-14 23:02:30,0.158,NaN
2025-04-14 23:02:45,NaN,NaN
2025-04-14 23:03:00,NaN,NaN
2025-04-14 23:03:15,NaN,NaN
2025-04-14 23:03:30,0.138,NaN
2025-04-14 23:03:45,NaN,NaN
2025-04-14 23:04:00,NaN,NaN
2025-04-14 23:04:15,NaN,NaN
2025-04-14 23:04:30,NaN,NaN
2025-04-14 23:04:45,0.165,NaN
2025-04-14 23:05:00,NaN,NaN
2025-04-14 23:05:15,0.142,NaN
2025-04-14 23:05:30,NaN,NaN
2025-04-14 23:05:45,0.167,NaN
2025-04-14 23:06:00,NaN,NaN
2025-04-14 23:06:15,0.178,NaN
2025-04-14 23:06:30,NaN,NaN
2025-04-14 23:06:45,0.135,NaN
2025-04-14 23:07:00,NaN,NaN
2025-04-14 23:07:15,0.144,NaN
2025-04-14 23:07:30,NaN,NaN
2025-04-14 23:07:45,0.159,NaN
2025-04-14 23:08:00,NaN,NaN
2025-04-14 23:08:15,NaN,NaN
2025-04-14 23:08:30,NaN,NaN
2025-04-14 23:08:45,NaN,NaN
2025-04-14 23:09:00,0.143,NaN
2025-04-14 23:09:15,NaN,NaN
2025-04-14 23:09:30,0.147,NaN
2025-04-14 23:09:45,NaN,NaN
2025-04-14 23:10:00,0.145,NaN
2025-04-14 23:10:15,NaN,NaN
2025-04-14 23:10:30,0.144,NaN
2025-04-14 23:10:45,NaN,NaN
2025-04-14 23:11:00,0.141,NaN
2025-04-14 23:11:15,NaN,NaN
2025-04-14 23:11:30,0.140,NaN
2025-04-14 23:11:45,NaN,NaN
2025-04-14 23:12:00,0.158,NaN
2025-04-14 23:12:15,NaN,NaN
2025-04-14 23:12:30,NaN,NaN
2025-04-14 23:12:45,NaN,NaN
2025-04-14 23:13:00,0.391,NaN
2025-04-14 23:13:15,1.20,NaN
2025-04-14 23:13:30,1.24,NaN
2025-04-14 23:13:45,1.53,NaN
